Index;Do you experience any negative effects from drinking coffee?
1;No, I don’t experience any negative effects
4;No, I don’t experience any negative effects
5;No, I don’t experience any negative effects
9;No, I don’t experience any negative effects
11;No, I don’t experience any negative effects
14;No, I don’t experience any negative effects
15;No, I don’t experience any negative effects
16;No, I don’t experience any negative effects
17;No, I don’t experience any negative effects
19;No, I don’t experience any negative effects
22;No, I don’t experience any negative effects
23;No, I don’t experience any negative effects
29;No, I don’t experience any negative effects
30;No, I don’t experience any negative effects
31;No, I don’t experience any negative effects
41;No, I don’t experience any negative effects
42;No, I don’t experience any negative effects
45;No, I don’t experience any negative effects
47;No, I don’t experience any negative effects
49;No, I don’t experience any negative effects
50;No, I don’t experience any negative effects
55;No, I don’t experience any negative effects
65;No, I don’t experience any negative effects
66;No, I don’t experience any negative effects
72;No, I don’t experience any negative effects
79;No, I don’t experience any negative effects
85;No, I don’t experience any negative effects
86;No, I don’t experience any negative effects
90;No, I don’t experience any negative effects
91;No, I don’t experience any negative effects
96;No, I don’t experience any negative effects
100;No, I don’t experience any negative effects
101;No, I don’t experience any negative effects
103;No, I don’t experience any negative effects
104;No, I don’t experience any negative effects
106;No, I don’t experience any negative effects
107;No, I don’t experience any negative effects
111;No, I don’t experience any negative effects
118;No, I don’t experience any negative effects
123;No, I don’t experience any negative effects
125;No, I don’t experience any negative effects
126;No, I don’t experience any negative effects
129;No, I don’t experience any negative effects
130;No, I don’t experience any negative effects
131;No, I don’t experience any negative effects
134;No, I don’t experience any negative effects
136;No, I don’t experience any negative effects
144;No, I don’t experience any negative effects
145;No, I don’t experience any negative effects
146;No, I don’t experience any negative effects
147;No, I don’t experience any negative effects
148;No, I don’t experience any negative effects
149;No, I don’t experience any negative effects
154;No, I don’t experience any negative effects
159;No, I don’t experience any negative effects
161;No, I don’t experience any negative effects
162;No, I don’t experience any negative effects
163;No, I don’t experience any negative effects
165;No, I don’t experience any negative effects
169;No, I don’t experience any negative effects
171;No, I don’t experience any negative effects
173;No, I don’t experience any negative effects
174;No, I don’t experience any negative effects
176;No, I don’t experience any negative effects
181;No, I don’t experience any negative effects
182;No, I don’t experience any negative effects
185;No, I don’t experience any negative effects
186;No, I don’t experience any negative effects
188;No, I don’t experience any negative effects
189;No, I don’t experience any negative effects
190;No, I don’t experience any negative effects
194;No, I don’t experience any negative effects
202;No, I don’t experience any negative effects
205;No, I don’t experience any negative effects
206;No, I don’t experience any negative effects
207;No, I don’t experience any negative effects
208;No, I don’t experience any negative effects
209;No, I don’t experience any negative effects
210;No, I don’t experience any negative effects
213;No, I don’t experience any negative effects
216;No, I don’t experience any negative effects
219;No, I don’t experience any negative effects
223;No, I don’t experience any negative effects
224;No, I don’t experience any negative effects
234;No, I don’t experience any negative effects
237;No, I don’t experience any negative effects
240;No, I don’t experience any negative effects
244;No, I don’t experience any negative effects
247;No, I don’t experience any negative effects
255;No, I don’t experience any negative effects
259;No, I don’t experience any negative effects
260;No, I don’t experience any negative effects
261;No, I don’t experience any negative effects
275;No, I don’t experience any negative effects
276;No, I don’t experience any negative effects
284;No, I don’t experience any negative effects
285;No, I don’t experience any negative effects
286;No, I don’t experience any negative effects
287;No, I don’t experience any negative effects
288;No, I don’t experience any negative effects
289;No, I don’t experience any negative effects
290;No, I don’t experience any negative effects
294;No, I don’t experience any negative effects
295;No, I don’t experience any negative effects
296;No, I don’t experience any negative effects
298;No, I don’t experience any negative effects
300;No, I don’t experience any negative effects
304;No, I don’t experience any negative effects
310;No, I don’t experience any negative effects
311;No, I don’t experience any negative effects
312;No, I don’t experience any negative effects
313;No, I don’t experience any negative effects
319;No, I don’t experience any negative effects
320;No, I don’t experience any negative effects
321;No, I don’t experience any negative effects
323;No, I don’t experience any negative effects
324;No, I don’t experience any negative effects
6;Sleep problems (e.g., insomnia or difficulty falling asleep)
7;Sleep problems (e.g., insomnia or difficulty falling asleep)
18;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
20;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
21;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
21;Sleep problems (e.g., insomnia or difficulty falling asleep)
24;Sleep problems (e.g., insomnia or difficulty falling asleep)
24;Heart palpitations / rapid heartbeat
25;Stomach issues (acid reflux, heartburn, stomach pain)
27;Stomach issues (acid reflux, heartburn, stomach pain)
28;Sleep problems (e.g., insomnia or difficulty falling asleep)
32;Sleep problems (e.g., insomnia or difficulty falling asleep)
33;Heart palpitations / rapid heartbeat
37;Heart palpitations / rapid heartbeat
38;Heart palpitations / rapid heartbeat
40;Stomach issues (acid reflux, heartburn, stomach pain)
43;Heart palpitations / rapid heartbeat
46;Nervousness / jitters (anxiety, shaking hands after coffee)
46;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
48;Heart palpitations / rapid heartbeat
57;Heart palpitations / rapid heartbeat
58;Heart palpitations / rapid heartbeat
59;Stomach issues (acid reflux, heartburn, stomach pain)
59;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
60;Heart palpitations / rapid heartbeat
61;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
61;Heart palpitations / rapid heartbeat
62;Sleep problems (e.g., insomnia or difficulty falling asleep)
62;Nervousness / jitters (anxiety, shaking hands after coffee)
64;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
67;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
67;Heart palpitations / rapid heartbeat
69;Sleep problems (e.g., insomnia or difficulty falling asleep)
73;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
78;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
78;Heart palpitations / rapid heartbeat
80;Nervousness / jitters (anxiety, shaking hands after coffee)
80;Stomach issues (acid reflux, heartburn, stomach pain)
82;Heart palpitations / rapid heartbeat
83;Sleep problems (e.g., insomnia or difficulty falling asleep)
84;Nervousness / jitters (anxiety, shaking hands after coffee)
84;Sleep problems (e.g., insomnia or difficulty falling asleep)
88;Heart palpitations / rapid heartbeat
94;Stomach issues (acid reflux, heartburn, stomach pain)
94;Nervousness / jitters (anxiety, shaking hands after coffee)
97;Heart palpitations / rapid heartbeat
98;Nervousness / jitters (anxiety, shaking hands after coffee)
99;Nervousness / jitters (anxiety, shaking hands after coffee)
102;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
102;Sleep problems (e.g., insomnia or difficulty falling asleep)
109;Sleep problems (e.g., insomnia or difficulty falling asleep)
110;Sleep problems (e.g., insomnia or difficulty falling asleep)
112;Nervousness / jitters (anxiety, shaking hands after coffee)
115;Nervousness / jitters (anxiety, shaking hands after coffee)
120;Sleep problems (e.g., insomnia or difficulty falling asleep)
120;Withdrawal symptoms (e.g., headache or irritability if I skip coffee)
