Do you drink coffee?;How often do you drink coffee?;How many cups of coffee do you usually drink per day?;At what time do you usually have your first coffee of the day?;Where do you most often drink coffee?;How do you usually prepare or get your coffee?;What type of coffee (coffee drink) do you drink most often?;What do you usually add to your coffee?;Do you prefer your coffee strong or mild?;What are your main reasons for drinking coffee? ;Do you experience any negative effects from drinking coffee?;In your opinion, what is the overall impact of coffee on health?;Which of the following statements best describes your relationship with coffee? ;Why don’t you drink coffee?;What do you drink instead of coffee?;Age group;Gender;Country of residence;Cleaned Country;ISO Code
Yes;Several times a month;1;Early afternoon (12–3 PM);At work / school / university;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);;Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;the States;United States;US
No;;;;;;;;;;;;;I don’t like the taste;Nothing – I don’t need stimulating drinks;18-24;Male;UK;United Kingdom;GB
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Female;holland;Netherlands;NL
Yes;Several times a week;1;Late afternoon (3–6 PM);At home;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather strong;Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Male;USA;United States;US
Yes;Several times a week;2;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);French press / moka pot (plunger pot or moka pot);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely mild (light flavor or low caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;I have no opinion / hard to say;"Coffee is just a drink to me; I don’t give it much thought.";;;35-44;Male;uk;United Kingdom;GB
Yes;Several times a week;2;Early afternoon (12–3 PM);In a café (on site);French press / moka pot (plunger pot or moka pot);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather mild;Social aspect – I drink coffee during social or work gatherings;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;United Kingdom;United Kingdom;GB
Yes;Every day;3–4;Right after waking up (~5–9 AM);At work / school / university;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;irl;Ireland;IE
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;25-34;Female;Netherlands;Netherlands;NL
Yes;Every day;2;Early afternoon (12–3 PM);At home;Capsules / pods (capsule machine such as Nespresso, Senseo, etc.);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Spices (e.g., cinnamon, cardamom);Rather strong;Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;25-34;Male;U. S. A;United States;US
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Water;18-24;Female;Hungary;Hungary;HU
Yes;Every day;3–4;Right after waking up (~5–9 AM);At work / school / university;Instant coffee (soluble – with hot water);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather strong;To warm up – especially on cold days;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;18-24;Female;Nepal;Nepal;NP
No;;;;;;;;;;;;;I don’t like the taste;Tea;45-54;Male;indonesia;Indonesia;ID
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;25-34;Female;deutschland;Germany;DE
Yes;Several times a week;2;Late morning (9–12);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;25-34;Male;czech republic;Czechia;CZ
Yes;Every day;2;Early afternoon (12–3 PM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;25-34;Male;denmark;Denmark;DK
Yes;Every day;3–4;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Instant coffee (soluble – with hot water);Espresso (small, very strong coffee ~30 ml);Milk or cream (dairy);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Social aspect – I drink coffee during social or work gatherings;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Female;germany;Germany;DE
Yes;Every day;2;Right after waking up (~5–9 AM);At home;Instant coffee (soluble – with hot water);Cappuccino (coffee with milk and foam, classic cappuccino);Plant-based milk (e.g., soy, oat, almond);Definitely mild (light flavor or low caffeine content);Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine, To warm up – especially on cold days;No, I don’t experience any negative effects;Negative – drinking coffee mostly harms health (e.g., causes issues);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;35-44;Female;Bulgaria;Bulgaria;BG
Yes;Every day;1;Late morning (9–12);No single dominant place;Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine, Social aspect – I drink coffee during social or work gatherings;Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;25-34;Male;USA;United States;US
Yes;Once a week;1;Late morning (9–12);At work / school / university;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Spices (e.g., cinnamon, cardamom);Rather mild;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;25-34;Female;US;United States;US
Yes;Several times a week;3–4;Late morning (9–12);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Concentration – coffee helps me focus and work more effectively, Social aspect – I drink coffee during social or work gatherings;Withdrawal symptoms (e.g., headache or irritability if I skip coffee);Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Male;United Kingdom;United Kingdom;GB
Yes;Every day;2;Late morning (9–12);At work / school / university;French press / moka pot (plunger pot or moka pot);Caffè latte / Latte macchiato (coffee with a large amount of milk);Other;Rather strong;Concentration – coffee helps me focus and work more effectively;Withdrawal symptoms (e.g., headache or irritability if I skip coffee), Sleep problems (e.g., insomnia or difficulty falling asleep);I have no opinion / hard to say;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Female;ca;Canada;CA
Yes;Every day;2;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Iced or dessert coffee (cold, e.g., frappé, iced cold brew, etc.);Flavored syrup (vanilla, caramel, etc.);Definitely strong (very intense flavor / high caffeine content);Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;germany;Germany;DE
Yes;Every day;1;Right after waking up (~5–9 AM);In a café (on site);French press / moka pot (plunger pot or moka pot);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost, Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;germany;Germany;DE
Yes;Every day;1;Within the first hour after waking up (~6–10 AM);To go (on the way, e.g., in the car or on public transport);Instant coffee (soluble – with hot water);Cappuccino (coffee with milk and foam, classic cappuccino);Spices (e.g., cinnamon, cardamom);Rather mild;Energy / stimulation – to wake up, get an energy boost, Relaxation – it’s a moment of pause and rest;Sleep problems (e.g., insomnia or difficulty falling asleep), Heart palpitations / rapid heartbeat;I have no opinion / hard to say;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;U.S. America;United States;US
Yes;Every day;1;Right after waking up (~5–9 AM);At work / school / university;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;germany;Germany;DE
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Tea;18-24;Female;BEL;Belgium;BE
Yes;Every day;1;Evening;At work / school / university;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Instant coffee (soluble, in a cup);Sugar / sweetener;Definitely strong (very intense flavor / high caffeine content);Taste and enjoyment – I simply like the taste of coffee, Concentration – coffee helps me focus and work more effectively;Stomach issues (acid reflux, heartburn, stomach pain);I have no opinion / hard to say;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;deutschland;Germany;DE
Yes;Every day;2;Late morning (9–12);To go (on the way, e.g., in the car or on public transport);I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Cappuccino (coffee with milk and foam, classic cappuccino);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine, Relaxation – it’s a moment of pause and rest;Sleep problems (e.g., insomnia or difficulty falling asleep);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;25-34;Male;states;United States;US
Yes;Several times a week;1;Within the first hour after waking up (~6–10 AM);At home;French press / moka pot (plunger pot or moka pot);Caffè latte / Latte macchiato (coffee with a large amount of milk);Flavored syrup (vanilla, caramel, etc.);Definitely mild (light flavor or low caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Male;germany;Germany;DE
